label,variable,description,unit,dataset_id,dataset_description,cycles,type,vartype,used_for,include,notes
audio_left_1000_retest,AUXU1K2L,1 kHz left ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_right_1000_retest,AUXU1K2R,1 kHz right ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_left_2000,AUXU2KL,2 kHz left ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_right_2000,AUXU2KR,2 kHz right ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_left_3000,AUXU3KL,3 kHz left ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_right_3000,AUXU3KR,3 kHz right ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_left_4000,AUXU4KL,4 kHz left ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_right_4000,AUXU4KR,4 kHz right ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_left_500,AUXU500L,0.5 kHz left ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_right_500,AUXU500R,0.5 kHz right ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_left_6000,AUXU6KL,6 kHz left ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_right_6000,AUXU6KR,6 kHz right ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_left_8000,AUXU8KL,8 kHz left ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
audio_right_8000,AUXU8KR,8 kHz right ear pure tone threshold,dB HL,AUX,Audiometry,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,response,all,TRUE,
pregnant,RIDEXPRG,Pregnancy,NA,DEMO,Demographic Variables & Sample Weights,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",factor,exclusion,filtering,TRUE,Only present at reproductive age so NA should not be excluded
education,DMDEDUC2,Education,NA,DEMO,Demographic Variables & Sample Weights,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",factor,covariate,all,TRUE,
sex,RIAGENDR,Sex,NA,DEMO,Demographic Variables & Sample Weights,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",factor,covariate,all,TRUE,
race,RIDRETH1,Race,NA,DEMO,Demographic Variables & Sample Weights,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",factor,covariate,all,TRUE,
smoking,SMQ020,Smoking,NA,SMQ,Smoking - Cigarette/Tobacco Use - Adult,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",factor,covariate,all,TRUE,
telolength,TELOMEAN,Mean telomere to single copy gene ratio,Dimensionless,TELO,Telomere Mean and Standard Deviation (Surplus),"1999_2000, 2001_2002",numeric,predictor,all,TRUE,Only present in first 2 cycles
sbp1,BPXSY1,Systolic blood pressure session 1,mmHg,BPX,Blood Pressure,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016",numeric,biomarker,kdm,TRUE,Must be averaged over 4 sessions
sbp2,BPXSY2,Systolic blood pressure session 2,mmHg,BPX,Blood Pressure,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016",numeric,biomarker,kdm,TRUE,Must be averaged over 4 sessions
sbp3,BPXSY3,Systolic blood pressure session 3,mmHg,BPX,Blood Pressure,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016",numeric,biomarker,kdm,TRUE,Must be averaged over 4 sessions
sbp4,BPXSY4,Systolic blood pressure session 4,mmHg,BPX,Blood Pressure,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016",numeric,biomarker,kdm,TRUE,Must be averaged over 4 sessions
sbp1,BPXOSY1,Systolic blood pressure session 1,mmHg,BPXO,Blood Pressure,2017_2020,numeric,biomarker,kdm,TRUE,Must be averaged over 3 sessions (oscillometer readings)
sbp2,BPXOSY2,Systolic blood pressure session 2,mmHg,BPXO,Blood Pressure,2017_2020,numeric,biomarker,kdm,TRUE,Must be averaged over 3 sessions (oscillometer readings)
sbp3,BPXOSY3,Systolic blood pressure session 3,mmHg,BPXO,Blood Pressure,2017_2020,numeric,biomarker,kdm,TRUE,Must be averaged over 3 sessions (oscillometer readings)
glu,LBDSGLSI,Glucose,mmol/L,"LAB18, L40, BIOPRO",Standard Biochemistry Profile,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,phenoage,TRUE,None
crp,LBXHSCRP,C-reactive protein (high-sensitivity),mg/L,HSCRP,High-Sensitivity C-Reactive Protein,"2015_2016, 2017_2020",numeric,biomarker,"kdm, phenoage",TRUE,must be converted to mg / dL by dividing by 10 to be consistent with previous cycles
alb,LBXSAL,Albumin,g/dL,"LAB18, L40, BIOPRO",Standard Biochemistry Profile,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,"kdm, phenoage, hd",TRUE,"Standardized in 2017_2020, converted to si units (g/dL to g/L) by multiplying by 10 to work with original PhenoAge coefficients"
alp,LBDSAPSI,Alkaline phosphatase,U/L,L40,Standard Biochemistry Profile,2001_2002,numeric,biomarker,"kdm, phenoage, hd",TRUE,None
alp,LBXSAPSI,Alkaline phosphatase,U/L,"LAB18, L40, BIOPRO",Standard Biochemistry Profile,"1999_2000, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,"kdm, phenoage, hd",TRUE,Standardized in 2017_2020
